  SDSS1444-0123             221.11929   -1.39556   4.18     -27.9588    0.1       -31.68485   0.23172   3       4.1       1.85      44.546677   1.583233
  SDSS1413+0000             213.31403    0.009     4.08     -27.87935   0.1       -32.25841   0.18464   3       1.7       0.6       48.653926   1.287278
  PSS0747+4434              116.95727   44.57141   4.43     -27.88167   0.1       -31.77116   0.24778   3       3.0       1.2       45.431557   1.685205
  SDSS0831+5235             127.76255   52.59266   4.44     -27.74906   0.1       -32.15616   0.14696   3       2.0       0.45      48.513093   1.055686
  PSS1443+2724              220.87988   27.41021   4.44     -27.66065   0.1       -31.87851   0.22478   3       1.9       0.85      47.044241   1.539073
  SDSSJ133422.63+475033.6   203.59433   47.84267   5.0      -27.62604   0.1       -32.20632   0.20533   3       1.9       0.6       49.347473   1.418987
  SDSS1408+0205             212.21214    2.08964   4.01     -27.47829   0.1       -31.41182   0.14907   3       2.2       0.2       44.713502   1.066085
  PSS0955+5940              148.79721   59.67518   4.34     -27.46171   0.1       -31.63034   0.09103   3       1.8       0.9       46.222274   0.729113
  BRI0103+0032               16.58017    0.80648   4.44     -27.42664   0.1       -31.55446   0.17196   3       2.0       0.65      45.865503   1.206905
  BR1600+0724               240.83702    7.35125   4.38     -27.22964   0.1       -31.88052   0.2417    3       2.6       1.05      48.822001   1.650133
  PSS1347+4956              206.93039   49.93925   4.51     -27.23637   0.1       -31.62388   0.13844   3       2.14      0.5       47.102194   1.004137
  PSS1326+0743              201.54938    7.7329    4.09     -26.92089   0.1       -31.37406   0.071     3       1.8       0.3       46.746449   0.62911
  PSS1057+4555              164.48441   45.9314    4.14     -26.75652   0.1       -31.45071   0.13257   3       2.0       0.55      47.924782   0.974033
  SDSS0231-0728              37.90688   -7.4818    5.41     -27.90734   0.1       -31.51484   0.17248   3       2.1       0.55      43.636322   1.211432
  SDSS1204-0021             181.17389   -0.36378   5.03     -27.71048   0.1       -32.30333   0.27136   3       1.7       1.15      49.641458   1.839157
  SDSS2216+0013             334.18333    0.23008   4.99     -28.17135   0.1       -32.11467   0.25803   3       2.3       1.05      46.510706   1.750759
  SDSS0211-0009              32.76125   -0.15286   4.87     -28.75888   0.1       -32.62251   0.31829   3       1.7       1.15      47.454064   2.139036
  PSS0133+0400               23.41792    4.01664   4.15     -27.62895   0.1       -31.69477   0.07136   3       1.9       0.2       45.962457   0.626035
  PSS0209+0517               32.4358     5.28703   4.14     -27.43686   0.1       -31.56484   0.14613   3       2.4       0.6       45.892108   1.048515
  SDSS0756+4104             119.07557   41.06905   5.09     -28.12958   0.1       -32.06935   0.20271   3       1.8       0.65      46.382872   1.398912
  SDSS0836+0054             129.18271    0.91481   5.82     -27.95825   0.1       -31.89427   0.21475   3       1.9       0.5       45.92982    1.474958
  SDSS1411+1217             212.79704   12.29372   5.93     -28.42779   0.1       -32.21748   0.24634   3       2.3       0.8       46.138787   1.676228
  SDSS1306+0356             196.53442    3.94064   5.99     -28.48955   0.1       -32.46427   0.09801   3       1.9       0.2       47.513254   0.766781
  SDSS1630+4012             247.64125   40.20267   6.05     -28.55129   0.1       -32.48646   0.21843   3       2.0       0.7       47.406816   1.49827
  SDSS1602+4228             240.72492   42.47358   6.07     -27.84107   0.1       -32.07127   0.18272   3       2.0       0.5       47.57666    1.274247
  SDSSJ010013.00+280225.9    15.05425   28.04883   6.3      -27.16278   0.1       -31.70496   0.07352   3       2.4       0.2       47.938096   0.643578
  SDSS1030+0524             157.61292    5.41528   6.31     -28.38109   0.1       -31.9831    0.05533   3       2.1       0.2       44.784496   0.554352
  ULASJ1120+0641            170.00617    6.69008   7.08     -27.24363   0.1       -31.63      0.05928   3       2.0       0.4       47.112827   0.572492
  N_64_25                    36.15464   -5.75311   0.4772   -27.04083   0.01049   -30.97857   0.01792   4       2.0699    0.08946   43.647612   0.136171
  N_79_34                    33.7687    -4.77194   0.3001   -27.53093   0.02133   -31.09117   0.02244   4       1.82376   0.09645   42.38367    0.192451
  N_88_18                    35.01286   -3.87981   0.77     -27.53274   0.01792   -31.13751   0.02021   4       1.85406   0.08739   42.68182    0.172286
  N_48_54                    35.91992   -4.38212   0.957    -27.58353   0.01255   -31.86185   0.02621   4       2.39569   0.25781   47.250108   0.194239
  N_103_3                    37.25089   -4.63136   1.7039   -26.85737   0.01076   -31.01617   0.03732   4       2.11621   0.13258   44.646606   0.257122
  N_2_30                     36.35593   -3.70644   1.3301   -27.09203   0.01009   -30.94667   0.02833   4       2.27517   0.12931   43.22766    0.199276
  N_28_2                     35.74543   -4.98123   0.4661   -27.4847    0.02159   -31.1075    0.01564   4       2.11922   0.07894   42.680608   0.156925
  N_148_24                   30.85927   -5.17238   0.8909   -27.03538   0.01595   -30.991     0.017     4       2.32888   0.09237   43.751886   0.139768
  N_29_48                    36.81717   -4.76086   0.7218   -27.80318   0.01533   -31.2627    0.01867   4       1.8275    0.08079   42.400159   0.170959
  N_157_21                   32.15034   -6.09137   1.0408   -27.73336   0.01098   -31.26064   0.03257   4       1.86234   0.13423   42.67241    0.237603
  N_80_30                    34.60588   -4.3758    0.5719   -27.56492   0.01699   -31.18444   0.01767   4       2.0414    0.08819   42.85953    0.157022
  N_37_69                    34.84708   -4.86354   0.6294   -27.2663    0.01156   -31.10189   0.01372   4       2.23657   0.07413   43.537721   0.116928
